code,slug,name_en,name_th,name_he,region_id,priority
10,bangkok,Bangkok Metropolis,กรุงเทพมหานคร,בנגקוק,bangkok-vicinity,1
11,samut-prakan,Samut Prakan,สมุทรปราการ,סמוט פראקאן,bangkok-vicinity,1
12,nonthaburi,Nonthaburi,นนทบุรี,נונתבורי,bangkok-vicinity,1
13,pathum-thani,Pathum Thani,ปทุมธานี,פאתום תאני,bangkok-vicinity,1
14,phra-nakhon-si-ayutthaya,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,איוטהאיה,central,1
15,ang-thong,Ang Thong,อ่างทอง,אנג תונג,central,0
16,lop-buri,Lop Buri,ลพบุรี,לופ בורי,central,0
17,sing-buri,Sing Buri,สิงห์บุรี,סינג בורי,central,0
18,chai-nat,Chai Nat,ชัยนาท,צ'אי נאט,central,0
19,saraburi,Saraburi,สระบุรี,סראבורי,central,0
20,chon-buri,Chon Buri,ชลบุรี,צ'ונבורי,eastern,1
21,rayong,Rayong,ระยอง,ראיונג,eastern,1
22,chanthaburi,Chanthaburi,จันทบุรี,צ'נתבורי,eastern,0
23,trat,Trat,ตราด,טראט,eastern,1
24,chachoengsao,Chachoengsao,ฉะเชิงเทรา,צ'אצ'ואנגסאו,eastern,0
25,prachin-buri,Prachin Buri,ปราจีนบุรี,פראצ'ין בורי,eastern,0
26,nakhon-nayok,Nakhon Nayok,นครนายก,נאקון נאיאוק,eastern,0
27,sa-kaeo,Sa Kaeo,สระแก้ว,סה קאו,eastern,0
30,nakhon-ratchasima,Nakhon Ratchasima,นครราชสีมา,נאקון ראטצ'סימה,northeastern,1
31,buri-ram,Buri Ram,บุรีรัมย์,בורי ראם,northeastern,0
32,surin,Surin,สุรินทร์,סורין,northeastern,0
33,si-sa-ket,Si Sa Ket,ศรีสะเกษ,סי סה קט,northeastern,0
34,ubon-ratchathani,Ubon Ratchathani,อุบลราชธานี,אובון ראטצ'תאני,northeastern,1
35,yasothon,Yasothon,ยโสธร,יאסותון,northeastern,0
36,chaiyaphum,Chaiyaphum,ชัยภูมิ,צ'איאפום,northeastern,0
37,amnat-charoen,Amnat Charoen,อำนาจเจริญ,אמנאט צ'רואן,northeastern,0
38,bueng-kan,Bueng Kan,บึงกาฬ,בואנג קאן,northeastern,0
