"SitemapKind","Url","DecodedPath","Status","ContentType","Bytes","ContentSha256","Canonical","SelfCanonical","HtmlLang","HtmlDir","Title","TitleLength","MetaDescription","MetaDescriptionLength","H1Count","FirstH1","H2Count","ApproximateRenderedWordCount","MainH1Count","MainFirstH1","MainH2Count","ApproximateMainWordCount","InternalLinkOccurrences","UniqueInternalDestinations","MainInternalLinkOccurrences","MainUniqueInternalDestinations","ImageCount","ImagesWithAltAttribute","ImagesWithNonEmptyAlt","OgImage","SchemaTypes","PublishedTime","ModifiedTime"
"post","https://thai-land.co.il/%d7%9e%d7%9c%d7%95%d7%a0%d7%95%d7%aa-%d7%97%d7%93%d7%a9%d7%99%d7%9d-%d7%91%d7%a7%d7%95-%d7%a1%d7%9e%d7%95%d7%99-2022/","/מלונות-חדשים-בקו-סמוי-2022/","200","text/html; charset=UTF-8","78846","fa9b68c5ecf82bd018014a5041d6abbade7f5760d769f26a90db19dbf983cb92","https://thai-land.co.il/מלונות-חדשים-בקו-סמוי-2022/","True","he-IL","rtl","מלונות חדשים בקו סמוי 2022 Koh Samui | להיות בתאילנד","52",,"0","2","להיות בתאילנד","0","1438","1","מלונות חדשים בקו סמוי 2022 Koh Samui","0","977","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-03-26T20:40:08+00:00","2022-03-26T21:58:38+00:00"
"post","https://thai-land.co.il/%d7%94%d7%97%d7%9c-%d7%9e%d7%90%d7%a4%d7%a8%d7%99%d7%9c-2022-%d7%9e%d7%98%d7%99%d7%99%d7%9c%d7%99%d7%9d-%d7%99%d7%95%d7%a8%d7%a9%d7%95-%d7%9c%d7%94%d7%99%d7%9b%d7%a0%d7%a1-%d7%9c%d7%aa%d7%90%d7%99/","/החל-מאפריל-2022-מטיילים-יורשו-להיכנס-לתאי/","200","text/html; charset=UTF-8","78930","2c5d9d5389b78d43c5e07b890450365636d57afa95002cae50491ae22ca97714","https://thai-land.co.il/החל-מאפריל-2022-מטיילים-יורשו-להיכנס-לתאי/","True","he-IL","rtl","החל מאפריל 2022 מטיילים יורשו להיכנס לתאילנד ללא צורך בהצגת הוכחה לבדיקת RT-PCR שלילית תוך 72 שעות מהנסיעה. | להיות בתאילנד","123",,"0","2","להיות בתאילנד","0","1356","1","החל מאפריל 2022 מטיילים יורשו להיכנס לתאילנד ללא צורך בהצגת הוכחה לבדיקת RT-PCR שלילית תוך 72 שעות מהנסיעה.","0","873","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-04-04T17:46:27+00:00","2022-04-04T17:46:44+00:00"
"post","https://thai-land.co.il/%d7%90%d7%a4%d7%a9%d7%a8%d7%95%d7%99%d7%95%d7%aa-%d7%9e%d7%a9%d7%9b%d7%a0%d7%aa%d7%90-%d7%95%d7%9e%d7%99%d7%9e%d7%95%d7%9f-%d7%a0%d7%9b%d7%a1%d7%99%d7%9d-%d7%91%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93/","/אפשרויות-משכנתא-ומימון-נכסים-בתאילנד/","200","text/html; charset=UTF-8","93248","a99ae2ddf83655ddc164c31cbb3d62e569c1bbd4a7b9fba265b9ed38d7a51120","https://thai-land.co.il/אפשרויות-משכנתא-ומימון-נכסים-בתאילנד/","True","he-IL","rtl","אפשרויות משכנתא ומימון נכסים בתאילנד לזרים | להיות בתאילנד","58",,"0","2","להיות בתאילנד","0","2711","1","אפשרויות משכנתא ומימון נכסים בתאילנד לזרים","0","2252","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-04-04T18:18:07+00:00",
"post","https://thai-land.co.il/5-%d7%94%d7%98%d7%a2%d7%95%d7%99%d7%95%d7%aa-%d7%94%d7%9e%d7%95%d7%91%d7%99%d7%9c%d7%95%d7%aa-%d7%a9%d7%99%d7%a9-%d7%9c%d7%94%d7%99%d7%9e%d7%a0%d7%a2-%d7%9e%d7%94%d7%9f-%d7%91%d7%a2%d7%aa/","/5-הטעויות-המובילות-שיש-להימנע-מהן-בעת/","200","text/html; charset=UTF-8","79969","4f580dbdfd963ace6982f6aadd27b242081f8fcec57f9cf09ad09c59e50a394c","https://thai-land.co.il/5-הטעויות-המובילות-שיש-להימנע-מהן-בעת/","True","he-IL","rtl","5 הטעויות המובילות שיש להימנע מהן בעת ​​רכישת נכס בתאילנד | להיות בתאילנד","73",,"0","2","להיות בתאילנד","0","1341","1","5 הטעויות המובילות שיש להימנע מהן בעת ​​רכישת נכס בתאילנד","0","874","74","38","2","2","2","2","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-04-04T18:33:38+00:00","2022-04-04T19:22:15+00:00"
"post","https://thai-land.co.il/5-%d7%94%d7%9e%d7%99%d7%aa%d7%95%d7%a1%d7%99%d7%9d-%d7%94%d7%92%d7%93%d7%95%d7%9c%d7%99%d7%9d-%d7%91%d7%99%d7%95%d7%aa%d7%a8-%d7%a2%d7%9c-%d7%94%d7%96%d7%9e%d7%a0%d7%aa-%d7%9b%d7%a8%d7%98%d7%99%d7%a1/","/5-המיתוסים-הגדולים-ביותר-על-הזמנת-כרטיס/","200","text/html; charset=UTF-8","75095","356e502e7c8a8db773d06386aea486f2de00c07a1786481a590b95c1d174ddb4","https://thai-land.co.il/5-המיתוסים-הגדולים-ביותר-על-הזמנת-כרטיס/","True","he-IL","rtl","5 המיתוסים הגדולים ביותר על הזמנת כרטיסי טיסה | להיות בתאילנד","61",,"0","2","להיות בתאילנד","0","1080","1","5 המיתוסים הגדולים ביותר על הזמנת כרטיסי טיסה","0","617","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-04-27T17:04:35+00:00",
"post","https://thai-land.co.il/14-%d7%9e%d7%a7%d7%95%d7%9e%d7%95%d7%aa-%d7%9e%d7%95%d7%91%d7%99%d7%9c%d7%99%d7%9d-%d7%9c%d7%91%d7%99%d7%a7%d7%95%d7%a8-%d7%91%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93/","/14-מקומות-מובילים-לביקור-בתאילנד/","200","text/html; charset=UTF-8","106584","47f638c17051bdc2d20d4ca75c1dbfdd38193e872200edf97ec60e6c13dc6b1f","https://thai-land.co.il/14-מקומות-מובילים-לביקור-בתאילנד/","True","he-IL","rtl","14 מקומות מובילים לביקור בתאילנד | להיות בתאילנד","48",,"0","2","להיות בתאילנד","0","4081","1","14 מקומות מובילים לביקור בתאילנד","0","3624","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-04-26T12:32:26+00:00","2022-04-30T17:45:30+00:00"
"post","https://thai-land.co.il/%d7%9e%d7%9c%d7%95%d7%a0%d7%95%d7%aa-%d7%94%d7%99%d7%95%d7%a7%d7%a8%d7%94-%d7%94%d7%98%d7%95%d7%91%d7%99%d7%9d-%d7%91%d7%99%d7%95%d7%aa%d7%a8-%d7%91%d7%a7%d7%95%d7%a1%d7%9e%d7%95%d7%99/","/מלונות-היוקרה-הטובים-ביותר-בקוסמוי/","200","text/html; charset=UTF-8","79056","9b94e34b8a3f25c0aeae89a77bf9c133463dbd9d6f15ec91e60f3b83b95aa531","https://thai-land.co.il/מלונות-היוקרה-הטובים-ביותר-בקוסמוי/","True","he-IL","rtl","מלונות היוקרה הטובים ביותר בקוסמוי | להיות בתאילנד","50",,"0","2","להיות בתאילנד","0","1250","1","מלונות היוקרה הטובים ביותר בקוסמוי","0","793","72","38","0","0","2","2","2","https://thai-land.co.il/wp-content/uploads/2022/03/ko-samui-300x169.jpg","","2022-03-24T09:27:56+00:00","2022-05-03T18:35:07+00:00"
"post","https://thai-land.co.il/%d7%9c%d7%a2%d7%91%d7%95%d7%93-%d7%9e%d7%91%d7%aa%d7%99-%d7%a7%d7%a4%d7%94-10-%d7%98%d7%99%d7%a4%d7%99%d7%9d-%d7%9c%d7%a2%d7%a9%d7%95%d7%aa-%d7%96%d7%90%d7%aa-%d7%91%d7%99%d7%a2%d7%99%d7%9c%d7%95/","/לעבוד-מבתי-קפה-10-טיפים-לעשות-זאת-ביעילו/","200","text/html; charset=UTF-8","86787","69313bbd81ae91bc5bca6faea64789c2fe7ff1b71941432317fc3e5d095e7046","https://thai-land.co.il/לעבוד-מבתי-קפה-10-טיפים-לעשות-זאת-ביעילו/","True","he-IL","rtl","לעבוד מבתי קפה: 10 טיפים לעשות זאת ביעילות | נווד דיגיטאלי | להיות בתאילנד","74",,"0","2","להיות בתאילנד","0","2192","1","לעבוד מבתי קפה: 10 טיפים לעשות זאת ביעילות | נווד דיגיטאלי","0","1723","72","38","0","0","2","2","2","https://thai-land.co.il/wp-content/uploads/2022/05/coffee.png","","2022-05-20T13:20:06+00:00","2022-05-21T10:38:54+00:00"
"post","https://thai-land.co.il/permanent-residence-thailand/","/permanent-residence-thailand/","200","text/html; charset=UTF-8","73524","d11e1ae1a44779b51683ddd461f6352bb70c9e8b2239d1b1b5f920307ebabb87","https://thai-land.co.il/permanent-residence-thailand/","True","he-IL","rtl","תושבות קבע תאילנדית | להיות בתאילנד","35",,"0","2","להיות בתאילנד","0","952","1","תושבות קבע תאילנדית","0","499","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-05-16T17:55:14+00:00","2022-05-21T17:21:12+00:00"
"post","https://thai-land.co.il/%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93-%d7%a7%d7%99%d7%a9%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%99%d7%9e%d7%95%d7%a9%d7%99%d7%99%d7%9d/","/תאילנד-קישורים-שימושיים/","200","text/html; charset=UTF-8","77617","8c0f1b4fa6fe47f217f469afc6723d1fdaf31fbe791648b3b2c5c56df4e911b1","https://thai-land.co.il/תאילנד-קישורים-שימושיים/","True","he-IL","rtl","תאילנד קישורים שימושיים | להיות בתאילנד","39",,"0","2","להיות בתאילנד","0","656","1","תאילנד קישורים שימושיים","0","203","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-05-23T14:10:06+00:00",
